epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8067.12,0.36187,0.75734,0.2259,0.28836,0.9206,0.99988,1,0.995,0.98963,0.99988,1,0.995,0.97742,0.22189,0.24515,0.15702,0.20388,0.80045,0.0004358,0.0004358,0.0004358
81,8133.78,0.35603,0.71037,0.23848,0.27083,0.91757,0.99982,1,0.995,0.98822,0.99982,1,0.995,0.96388,0.21684,0.26382,0.15897,0.19564,0.79768,0.000416,0.000416,0.000416
82,8210.48,0.36993,0.71588,0.2374,0.27434,0.92701,0.99985,1,0.995,0.99048,0.99985,1,0.995,0.9753,0.2074,0.25649,0.15445,0.19057,0.80198,0.0003962,0.0003962,0.0003962
83,8263.57,0.35777,0.72643,0.23332,0.27669,0.91843,0.99987,1,0.995,0.98597,0.99987,1,0.995,0.97718,0.22023,0.25143,0.16147,0.1975,0.79926,0.0003764,0.0003764,0.0003764
84,8361.39,0.34319,0.66567,0.23188,0.26462,0.91009,0.99988,1,0.995,0.98809,0.99988,1,0.995,0.96942,0.21,0.24605,0.15609,0.19346,0.8021,0.0003566,0.0003566,0.0003566
85,8424.68,0.3549,0.67486,0.22404,0.27773,0.91658,0.99988,1,0.995,0.9875,0.99988,1,0.995,0.98175,0.21102,0.2259,0.15236,0.1901,0.80058,0.0003368,0.0003368,0.0003368
86,8499.97,0.34918,0.71292,0.22296,0.26229,0.91927,0.99989,1,0.995,0.98805,0.99989,1,0.995,0.98358,0.20107,0.21275,0.15565,0.18444,0.79498,0.000317,0.000317,0.000317
87,8563.76,0.358,0.74594,0.23442,0.2709,0.92957,0.99988,1,0.995,0.99102,0.99988,1,0.995,0.98533,0.20736,0.21604,0.15487,0.18624,0.79672,0.0002972,0.0002972,0.0002972
88,8620.27,0.33258,0.64027,0.21574,0.25456,0.90938,0.99989,1,0.995,0.98824,0.99989,1,0.995,0.98341,0.205,0.22555,0.15498,0.17502,0.79079,0.0002774,0.0002774,0.0002774
89,8677.55,0.32559,0.64689,0.23024,0.25938,0.907,0.99988,1,0.995,0.99198,0.99988,1,0.995,0.98607,0.18883,0.20887,0.15491,0.17166,0.78787,0.0002576,0.0002576,0.0002576
